PlaylistUrl,PlaylistName
https://soundcloud.com/dj-zedi/sets/desi-remixes,DJ Zedi - Desi Remixes: 2011-2014
https://soundcloud.com/dj-zedi/sets/drum-bass,Drum & Bass
https://soundcloud.com/dj-zedi/sets/official-singles,Official Singles
https://soundcloud.com/dj-zedi/sets/beats,Beats
https://soundcloud.com/lilmosey/sets/northsbest-2,
https://soundcloud.com/djvanic/sets/here-now,Here & Now
https://soundcloud.com/djvanic/sets/vanic-g-eazy,Vanic - G-Eazy
https://soundcloud.com/adventureclub/sets/superheroes-anonymous,Superheroes Anonymous
https://soundcloud.com/adventureclub/sets/red-blue,RED//BLUE
https://soundcloud.com/adventureclub/sets/rise-and-fall-remixes,
https://soundcloud.com/protocolrecordings/sets/back-to-where-we-started,Back To Where We Started
https://soundcloud.com/khushbakht-syed/sets/3-1,<3
https://soundcloud.com/uprisemusicofficial/sets/swaylo-ride-with-me,SWAYLÓ - Ride With Me
https://soundcloud.com/uprisemusicofficial/sets/lndn-x-xpnsv-taste-chaos,LNDN x XPNSV TASTE - Chaos (Remixes)
https://soundcloud.com/uprisemusicofficial/sets/bombays-camino-ep,BOMBAYS - CAMINO EP
https://soundcloud.com/uprisemusicofficial/sets/hidden-face-cold-night-ep,Hidden Face - Cold Night EP
https://soundcloud.com/uprisemusicofficial/sets/alfred-beck-elements-ep,Alfred Beck - Elements EP
https://soundcloud.com/uprisemusicofficial/sets/venga-this-time,VENGA - This Time EP
https://soundcloud.com/uprisemusicofficial/sets/low-disco-molly-ep,Low Disco - Molly EP
https://soundcloud.com/uprisemusicofficial/sets/bassani-x-prayer-handz-scream,Bassani x Prayer Handz - Scream EP
https://soundcloud.com/uprisemusicofficial/sets/cave-studio-show-n-realize,Cave Studio - Show 'N Realize
https://soundcloud.com/bazziworldwide/sets/infinite-dream,Bazzi - Infinite Dream
https://soundcloud.com/bazziworldwide/sets/soul-searching,Soul Searching
https://soundcloud.com/brycevine/sets/night-circus-1,Night Circus
https://soundcloud.com/brycevine/sets/lazy-er-fair,Lazy-er Fair
https://soundcloud.com/runagroundmusic/sets/stars-come-out-runaground,Stars Come Out - RUNAGROUND Original ft. Disco Fries
https://soundcloud.com/majorlazer/sets/lay-your-head-on-me-remixes-1,Lay Your Head On Me Remixes
https://soundcloud.com/majorlazer/sets/soca-storm-ep,Soca Storm EP
https://soundcloud.com/majorlazer/sets/dj-weapons,DJ Weapons
https://soundcloud.com/majorlazer/sets/cant-take-it-from-me-remixes,Can't Take It From Me Remixes
https://soundcloud.com/majorlazer/sets/major-lazer-essentials-1,Major Lazer Essentials
https://soundcloud.com/majorlazer/sets/give-me-future-soundtrack,GIVE ME FUTURE SOUNDTRACK
https://soundcloud.com/majorlazer/sets/know-no-better-remixes,Know No Better Remixes
https://soundcloud.com/majorlazer/sets/know-no-better-ep,Know No Better EP
https://soundcloud.com/majorlazer/sets/run-up-remixes,Run Up Remixes
https://soundcloud.com/theblndr/sets/longdistance,isthislove - longdistance EP
https://soundcloud.com/theblndr/sets/hugsplease,cuddles - hugs please EP
https://soundcloud.com/theblndr/sets/datenight,I+U - Date Night EP
https://soundcloud.com/theblndr/sets/imaginary,Straim - imaginary. EP
https://soundcloud.com/theblndr/sets/luciddreams,nytetime - lucid dreams EP
https://soundcloud.com/theblndr/sets/nightcoffee,bond77 - Night Coffee EP
https://soundcloud.com/theblndr/sets/roughpartoftown,View Points - Rough Part Of Town EP
https://soundcloud.com/theblndr/sets/myidea,melloe - My Idea EP
https://soundcloud.com/theblndr/sets/latenights,illabeats - Late Nights EP
https://soundcloud.com/theblndr/sets/thefool,tarot. - the fool EP
https://soundcloud.com/user-614704943/sets/alec-benjamin-unreleaseds,alec benjamin unreleaseds
https://soundcloud.com/khooshal-ajoodha/sets/hindi-songs-mix-khooshal-dj,hindi songs mix khooshal dj 2015._1_
https://soundcloud.com/khooshal-ajoodha/sets/set-title,hindi songs mix khooshal dj 2015.
https://soundcloud.com/froogleandy/sets/surreal-feels-ep-out-february,Surreal Feels EP
https://soundcloud.com/froogleandy/sets/tunnel-vision-ep,Tunnel Vision EP
https://soundcloud.com/theforevernow/sets/the-forever-now-latest,LATEST TRACKS
https://soundcloud.com/theforevernow/sets/indie-rock-2020,Indie Rock & Pop 2021
https://soundcloud.com/theforevernow/sets/singer-songwriter-2020,Singer Songwriter Indie Folk 2021
https://soundcloud.com/theforevernow/sets/cinematic-2020,Modern Classical & Minimal Instrumental
https://soundcloud.com/theforevernow/sets/dark-indie-synth-rock-2020,Deep Dark Indie Electronica and Synth pop 2021
https://soundcloud.com/theforevernow/sets/if-time-is-not-linear-why-cant,"If Time is Not Linear, Why Can't I Forget the Past?"
https://soundcloud.com/theforevernow/sets/reciprocals-cinematic-version,Reciprocals (Cinematic Version)
https://soundcloud.com/marinadiamandis/sets/electra-heart,♡ ELECTRA HEART ♡
https://soundcloud.com/chinmaylive/sets/soulful,Featured AR Tracks
https://soundcloud.com/nesthq/sets/artist-spotlight-gill-chang,Artist Spotlight: Gill Chang
https://soundcloud.com/nesthq/sets/artist-spotlight-morgan-page,Artist Spotlight: Morgan Page
https://soundcloud.com/nesthq/sets/artist-spotlight-pnau,Artist Spotlight: PNAU
https://soundcloud.com/nesthq/sets/artist-spotlight-squnto,Artist Spotlight: SQUNTO
https://soundcloud.com/nesthq/sets/artist-spotlight-cehryl,Artist Spotlight: cehryl
https://soundcloud.com/nesthq/sets/artist-spotlight-suzi-analogue,Artist Spotlight: Suzi Analogue
https://soundcloud.com/amir-badiee/sets/6w7xxcv3rbna,شیرازه
